fixed acidity,volatile acidity,citric acid,total sulfur dioxide,density,alcohol,quality
7.0,0.43,0.3,39.0,0.99346,11.9,6
9.8,0.5,0.34,45.0,0.99864,9.7,7
8.0,0.33,0.53,80.0,0.9976,9.6,6
9.0,0.62,0.04,90.0,0.9984,9.4,5
6.3,0.3,0.48,61.0,0.9959,10.3,6
7.2,0.62,0.06,84.0,0.99746,9.7,5
7.6,0.5,0.29,14.0,0.99502,11.5,6
11.4,0.36,0.69,21.0,1.0,9.2,6
7.0,0.57,0.02,26.0,0.99575,10.2,5
9.0,0.45,0.49,75.0,0.9987,9.7,5
10.9,0.39,0.47,14.0,0.9982,9.8,6
7.7,0.965,0.1,22.0,0.9963,9.5,5
6.7,0.7,0.08,16.0,0.99334,12.6,5
7.0,0.58,0.12,124.0,0.9956,10.5,5
8.0,0.43,0.36,48.0,0.9976,9.4,5
8.7,0.33,0.38,19.0,0.99468,12.0,7
6.8,0.65,0.02,15.0,0.99498,10.4,6
7.6,0.35,0.6,44.0,0.99656,11.1,6
8.5,0.28,0.56,103.0,0.9969,10.5,7
7.4,0.49,0.27,25.0,0.99388,12.0,6
7.5,0.42,0.31,42.0,0.9978,9.0,5
6.8,0.815,0.0,29.0,0.99471,9.8,3
10.0,0.48,0.24,32.0,1.0,10.0,6
10.1,0.45,0.23,18.0,0.99774,9.3,6
7.8,0.6,0.26,131.0,0.99622,9.9,5
7.3,0.52,0.32,70.0,0.99418,12.9,6
6.4,0.36,0.21,48.0,0.99661,9.7,6
7.2,0.36,0.46,44.0,0.99534,11.0,7
8.8,0.61,0.3,46.0,0.9976,9.3,4
7.2,0.63,0.0,38.0,0.99675,9.0,6
7.8,0.6,0.14,15.0,0.9975,10.8,6
8.9,0.84,0.34,10.0,0.99554,9.1,6
8.5,0.46,0.59,45.0,0.99702,9.2,5
7.4,0.63,0.07,37.0,0.9979,9.7,6
5.6,0.66,0.0,11.0,0.99378,12.8,7
11.9,0.58,0.66,37.0,0.9992,10.0,5
12.0,0.63,0.5,26.0,0.99791,10.4,4
11.3,0.36,0.66,8.0,0.99642,11.9,6
8.2,0.42,0.49,55.0,0.9988,8.7,6
8.3,0.26,0.37,23.0,0.9974,9.6,6
6.4,0.795,0.0,52.0,0.99378,11.6,5
9.1,0.4,0.5,16.0,0.99462,12.5,8
7.6,0.48,0.31,15.0,0.99693,10.3,6
9.2,0.31,0.36,31.0,0.99615,12.0,7
8.0,0.42,0.32,122.0,0.99801,9.7,5
6.8,0.48,0.25,61.0,0.9953,10.4,5
7.2,0.6,0.04,88.0,0.99745,9.5,5
8.4,0.65,0.6,90.0,0.9973,9.2,5
7.1,0.56,0.14,18.0,0.99592,9.3,5
8.1,0.56,0.28,56.0,0.9968,9.3,5
7.8,0.61,0.29,29.0,0.9974,9.1,5
8.9,0.5,0.21,39.0,0.99692,11.1,6
7.1,0.61,0.02,87.0,0.99745,9.7,6
9.9,0.74,0.19,76.0,0.99878,9.4,5
7.7,0.69,0.49,112.0,0.9968,9.3,5
6.0,0.49,0.0,33.0,0.99292,12.5,6
7.6,0.74,0.0,12.0,0.99521,11.0,5
6.8,0.51,0.01,25.0,0.9958,9.5,6
11.5,0.45,0.5,47.0,1.0003,11.0,6
15.6,0.645,0.49,23.0,1.00315,11.1,5
7.9,0.19,0.42,30.0,0.994,11.2,6
9.3,0.39,0.44,125.0,0.9978,9.5,5
9.1,0.28,0.48,46.0,0.9967,10.6,6
8.1,0.785,0.52,153.0,0.9969,9.3,5
8.7,0.54,0.26,31.0,0.9976,9.3,6
7.6,0.49,0.33,85.0,0.99706,9.0,5
7.2,0.62,0.06,85.0,0.99746,9.5,5
8.5,0.32,0.42,19.0,0.99434,11.8,7
9.4,0.27,0.53,18.0,0.9962,12.0,7
12.8,0.615,0.66,42.0,1.0022,10.0,7
7.5,0.61,0.26,88.0,0.99612,9.8,5
9.9,0.54,0.45,40.0,0.9991,9.4,5
7.5,0.41,0.15,94.0,0.99786,9.1,5
7.4,0.64,0.07,23.0,0.9961,9.6,5
5.8,0.29,0.26,11.0,0.9915,13.5,6
7.5,0.58,0.56,14.0,0.99476,11.6,6
8.3,0.42,0.38,60.0,0.9979,10.8,6
7.3,0.34,0.33,37.0,0.9952,12.1,7
7.1,0.43,0.42,129.0,0.9973,10.5,5
9.3,0.4,0.49,142.0,0.9978,9.4,5
8.6,0.47,0.47,29.0,0.9979,9.5,5
8.1,0.78,0.23,15.0,0.997,11.3,5
8.2,0.78,0.0,26.0,0.9978,9.6,4
9.9,0.72,0.55,52.0,0.99752,10.0,5
7.5,0.65,0.18,94.0,0.99915,9.4,5
6.3,0.51,0.13,40.0,0.99574,11.0,6
9.3,0.49,0.36,14.0,0.99702,10.9,6
8.8,0.3,0.38,72.0,0.99543,11.8,6
6.5,0.51,0.15,27.0,0.9929,12.8,6
8.3,0.655,0.12,113.0,0.9966,9.8,5
9.7,0.31,0.47,33.0,0.9983,10.0,6
7.8,0.62,0.05,18.0,0.99735,9.3,5
11.9,0.695,0.53,21.0,0.9992,12.2,7
9.8,0.44,0.47,28.0,0.9981,10.8,6
7.8,0.7,0.06,35.0,0.99628,10.9,5
8.8,0.44,0.49,111.0,0.9982,9.5,5
10.0,0.73,0.43,31.0,0.9966,11.0,5
10.8,0.29,0.42,27.0,0.99545,11.9,6
6.8,0.67,0.15,20.0,0.9954,11.3,6
6.6,0.61,0.01,25.0,0.99746,10.5,5
11.2,0.28,0.56,60.0,0.998,9.8,6
7.8,0.5,0.3,22.0,0.9959,10.4,6
7.3,0.51,0.18,28.0,0.99768,9.5,6
7.3,0.32,0.23,70.0,0.99588,10.1,5
9.9,0.5,0.5,82.0,1.00242,8.8,5
8.8,0.55,0.04,56.0,0.9962,10.9,6
7.2,0.38,0.38,42.0,0.99356,12.9,7
7.8,0.56,0.19,108.0,0.9962,9.5,5
6.8,0.77,0.0,52.0,0.9976,9.9,5
7.0,0.69,0.08,89.0,0.9959,9.2,6
8.9,0.875,0.13,14.0,0.9994,11.5,5
6.6,0.88,0.04,20.0,0.99636,9.9,5
10.4,0.55,0.23,48.0,0.9994,10.3,6
9.2,0.43,0.52,23.0,0.9976,11.3,6
6.9,0.45,0.11,12.0,0.99354,11.4,6
7.4,0.37,0.43,82.0,0.99708,9.7,6
6.6,0.84,0.03,48.0,0.9952,12.3,7
10.4,0.52,0.45,13.0,0.99774,11.4,6
5.6,0.915,0.0,78.0,0.99346,11.4,5
7.5,0.6,0.03,99.0,0.995,10.1,5
11.6,0.23,0.57,8.0,0.9981,9.9,6
8.9,0.29,0.35,57.0,0.997,10.3,6
9.8,1.24,0.34,151.0,0.998,9.5,5
8.9,0.5,0.21,39.0,0.99692,11.1,6
8.0,0.5,0.39,46.0,0.9985,10.7,6
7.6,0.54,0.13,66.0,0.99785,9.4,5
7.1,0.22,0.49,18.0,0.99344,12.4,6
9.3,0.43,0.44,22.0,0.99708,9.5,5
7.8,0.64,0.0,55.0,0.9962,11.0,5
7.5,0.63,0.27,91.0,0.99616,9.8,6
10.5,0.28,0.51,24.0,0.9982,9.4,6
9.3,0.775,0.27,56.0,0.9984,10.6,6
15.9,0.36,0.65,71.0,0.9976,14.9,5
7.6,0.36,0.31,65.0,0.99716,9.5,6
6.4,0.47,0.4,19.0,0.9963,10.6,6
9.2,0.59,0.24,47.0,0.9988,9.6,5
8.5,0.21,0.52,23.0,0.99648,10.4,5
9.4,0.3,0.56,17.0,0.9964,11.7,8
11.5,0.18,0.51,23.0,0.9996,10.1,6
6.1,0.38,0.15,19.0,0.9955,9.4,5
7.0,0.57,0.0,45.0,0.99676,9.4,6
7.2,0.605,0.02,31.0,0.995,11.8,6
7.2,0.34,0.24,52.0,0.99576,10.1,5
7.3,0.38,0.21,35.0,0.9961,9.5,5
8.4,0.25,0.39,10.0,0.99386,12.5,7
12.3,0.27,0.49,46.0,0.9993,10.2,6
6.9,0.84,0.21,65.0,0.99842,9.23333333333333,6
7.7,1.005,0.15,32.0,0.99604,10.0,5
10.2,0.645,0.36,14.0,0.9982,10.0,6
8.5,0.66,0.2,113.0,0.99733,9.2,5
8.2,0.915,0.27,23.0,0.9962,10.0,4
12.8,0.3,0.74,28.0,0.9994,10.8,7
10.5,0.39,0.46,27.0,0.99598,11.4,6
8.7,0.7,0.24,15.0,0.9991,9.0,6
8.0,0.59,0.05,32.0,0.99735,10.0,5
7.7,0.56,0.08,46.0,0.9971,9.6,6
6.6,0.58,0.02,53.0,0.99374,11.6,7
9.9,0.5,0.24,14.0,0.9978,10.0,4
10.2,0.23,0.37,36.0,0.99614,9.3,4
7.5,0.57,0.08,27.0,0.99592,10.4,6
8.3,0.26,0.42,27.0,0.9974,9.4,6
10.4,0.24,0.49,20.0,0.9977,11.0,6
9.5,0.46,0.24,44.0,0.998,10.0,6
7.1,0.67,0.0,27.0,0.99768,9.4,5
7.1,0.84,0.02,13.0,0.997,11.0,4
7.6,0.62,0.32,54.0,0.9966,9.4,5
9.3,0.36,0.39,55.0,0.99652,10.9,6
8.1,0.545,0.18,35.0,0.9972,9.0,6
6.4,0.64,0.21,31.0,0.99689,9.8,5
6.5,0.53,0.06,44.0,0.99489,10.3,6
6.9,0.41,0.31,51.0,0.99668,9.5,6
7.5,0.57,0.02,35.0,0.99557,10.8,6
8.7,0.42,0.45,59.0,0.99617,12.0,6
7.4,0.61,0.01,38.0,0.99748,9.8,5
7.9,0.49,0.32,144.0,0.9968,9.5,5
10.0,0.31,0.47,33.0,0.99965,10.5,7
6.4,0.42,0.09,64.0,0.99724,10.4,6
6.6,0.725,0.2,79.0,0.9977,9.2,5
7.2,0.73,0.02,42.0,0.9972,9.3,5
6.6,0.705,0.07,15.0,0.9962,10.7,5
7.8,0.56,0.19,47.0,0.9964,9.5,5
8.9,0.38,0.4,28.0,0.99486,12.6,7
8.1,0.725,0.22,41.0,0.9967,9.1,5
10.4,0.575,0.61,24.0,1.0,9.0,5
8.2,0.24,0.34,22.0,0.9974,10.9,6
7.6,0.715,0.0,35.0,0.99533,11.4,6
7.8,0.55,0.0,17.0,0.99659,9.4,6
10.3,0.27,0.56,8.0,0.99471,11.8,6
9.7,0.295,0.4,21.0,0.99556,10.9,6
6.8,0.785,0.0,30.0,0.9966,10.7,6
11.5,0.59,0.59,49.0,0.9988,11.0,6
10.3,0.41,0.42,14.0,0.9994,9.5,6
7.5,0.5,0.36,102.0,0.9978,10.5,5
9.6,0.38,0.42,13.0,0.99659,10.5,6
7.4,0.6,0.26,91.0,0.99616,9.8,6
10.7,0.35,0.53,16.0,0.9972,11.0,8
8.5,0.18,0.51,88.0,0.99524,11.8,7
12.2,0.45,0.49,6.0,0.9969,10.4,5
6.7,0.48,0.08,34.0,0.99552,9.7,5
8.4,0.62,0.09,108.0,0.9964,9.8,5
7.9,0.4,0.29,44.0,0.9973,9.5,6
10.2,0.4,0.4,54.0,0.99754,10.5,6
8.2,0.6,0.17,73.0,0.9963,9.3,5
8.3,0.49,0.36,16.0,0.998,9.5,6
7.7,0.39,0.12,27.0,0.99596,9.4,5
7.2,0.725,0.05,11.0,0.9962,10.9,5
10.8,0.45,0.33,38.0,0.99818,10.8,5
9.2,0.58,0.2,115.0,0.998,9.5,5
11.6,0.42,0.53,98.0,1.001,9.2,5
6.8,0.81,0.05,14.0,0.99562,10.8,6
6.7,0.64,0.23,119.0,0.99538,10.9,5
8.9,0.4,0.51,27.0,0.995,13.4,7
7.1,0.46,0.14,37.0,0.99624,10.7,5
6.4,0.57,0.14,73.0,0.99669,9.2,5
7.3,0.585,0.18,60.0,0.99638,9.8,5
7.8,0.58,0.02,18.0,0.9968,9.5,7
9.2,0.56,0.18,21.0,0.99576,9.9,5
8.0,0.725,0.24,62.0,0.99685,10.0,6
9.8,0.34,0.39,7.0,0.9947,11.4,7
6.0,0.51,0.0,54.0,0.995,10.7,6
10.8,0.32,0.44,37.0,0.9985,10.0,6
9.4,0.615,0.28,72.0,1.0001,9.7,5
8.4,1.035,0.15,54.0,0.999,9.9,5
7.7,0.75,0.27,89.0,0.99664,9.3,5
8.9,0.4,0.32,47.0,0.9991,10.5,7
6.5,0.615,0.0,18.0,0.9972,9.2,5
8.3,0.615,0.22,19.0,0.9982,9.3,5
6.7,0.16,0.64,52.0,0.99494,11.2,6
6.8,0.63,0.12,126.0,0.9969,9.5,5
9.1,0.785,0.0,28.0,0.9994,9.4,6
8.4,0.36,0.32,79.0,0.9964,11.0,6
6.9,0.52,0.25,37.0,0.99685,11.0,5
6.6,0.855,0.02,23.0,0.99627,11.0,6
7.7,0.56,0.2,39.0,0.9987,9.3,5
7.9,0.29,0.49,59.0,0.99714,10.1,6
6.2,0.64,0.09,26.0,0.99538,12.0,5
7.4,0.47,0.46,20.0,0.99647,10.5,5
6.3,0.47,0.0,33.0,0.9922,12.3,6
6.7,0.28,0.28,100.0,0.99064,11.7,7
7.3,0.74,0.08,45.0,0.99576,9.8,5
13.8,0.49,0.67,15.0,0.9986,12.0,6
6.7,0.675,0.07,82.0,0.9958,10.1,5
7.5,0.5,0.36,102.0,0.9978,10.5,5
7.0,0.69,0.07,21.0,0.99572,11.3,6
7.1,0.62,0.06,12.0,0.9942,9.8,5
7.1,0.72,0.0,14.0,0.99627,9.8,5
8.9,0.48,0.24,106.0,0.9982,9.2,5
8.9,0.35,0.4,24.0,0.99549,12.0,7
10.5,0.36,0.47,23.0,0.99638,12.0,6
7.0,0.51,0.09,9.0,0.99584,10.5,5
13.0,0.47,0.49,47.0,1.0021,12.7,6
11.4,0.625,0.66,24.0,0.9988,13.3,6
7.5,0.6,0.32,98.0,0.99938,9.5,5
8.3,0.34,0.4,48.0,0.99554,11.0,6
9.4,0.5,0.34,14.0,0.9987,10.7,6
8.2,0.57,0.26,65.0,0.9959,10.1,5
9.9,0.59,0.07,71.0,1.00015,9.8,5
8.4,0.62,0.12,46.0,0.99504,11.8,6
5.6,0.5,0.09,99.0,0.9937,13.0,5
7.1,0.34,0.28,68.0,0.99694,9.4,5
9.2,0.43,0.49,116.0,0.9976,9.5,5
11.3,0.36,0.66,8.0,0.99642,11.9,6
6.4,0.865,0.03,58.0,0.995,12.7,6
8.7,0.78,0.51,66.0,0.99623,9.2,5
7.7,0.96,0.2,60.0,0.9955,10.9,5
9.0,0.58,0.25,104.0,0.99779,9.7,5
6.6,0.725,0.09,17.0,0.99655,10.8,6
8.2,0.35,0.33,47.0,0.99599,11.0,6
11.1,0.18,0.48,15.0,0.9973,10.1,6
7.4,0.49,0.27,25.0,0.99388,12.0,6
6.9,0.605,0.12,83.0,0.9993,9.4,6
7.5,0.52,0.42,38.0,0.9972,10.5,6
6.6,0.58,0.0,63.0,0.99544,11.4,6
7.7,0.6,0.0,13.0,0.99639,10.8,5
9.9,0.35,0.41,61.0,0.9982,9.5,5
9.5,0.55,0.66,37.0,0.9982,9.6,5
9.2,0.41,0.5,25.0,0.9952,13.3,7
12.0,0.45,0.55,49.0,0.9997,10.3,6
7.2,0.33,0.33,13.0,0.996,10.0,8
15.5,0.645,0.49,23.0,1.00315,11.1,5
7.1,0.6,0.01,37.0,0.99514,10.9,6
7.2,0.58,0.54,9.0,0.99719,10.3,4
6.8,0.64,0.03,31.0,0.99545,10.4,6
7.3,0.65,0.0,21.0,0.9946,10.0,7
11.9,0.43,0.66,23.0,1.0,10.4,7
9.3,0.715,0.24,20.0,0.9966,9.9,5
11.5,0.18,0.51,23.0,0.9996,10.1,6
6.2,0.43,0.22,56.0,0.99633,9.5,6
7.3,0.305,0.39,11.0,0.99331,11.5,6
6.6,0.8,0.03,12.0,0.9963,12.2,5
11.1,0.39,0.54,101.0,1.0001,9.5,5
9.1,0.47,0.49,106.0,0.9982,9.1,5
10.2,0.29,0.65,17.0,0.99565,11.8,6
10.4,0.38,0.46,10.0,0.99664,11.8,7
6.8,0.68,0.09,29.0,0.99524,11.1,4
7.2,0.6,0.04,88.0,0.99745,9.5,5
10.3,0.27,0.24,33.0,0.9956,12.8,6
8.0,0.52,0.03,35.0,0.99575,10.0,5
7.0,0.23,0.4,67.0,0.9952,11.1,5
9.3,0.36,0.39,55.0,0.99652,10.9,6
9.6,0.68,0.24,28.0,0.9988,10.2,5
5.9,0.19,0.21,135.0,0.99341,9.5,5
8.7,0.765,0.22,42.0,0.9963,9.4,5
7.3,0.305,0.39,11.0,0.99331,11.5,6
6.9,0.63,0.02,30.0,0.99712,9.8,5
9.0,0.46,0.31,98.0,0.99815,9.5,6
8.2,0.4,0.31,24.0,0.996,10.6,6
7.7,0.935,0.43,114.0,0.997,9.2,5
13.3,0.34,0.52,53.0,1.0014,9.5,6
9.8,0.51,0.19,30.0,0.9984,10.5,6
7.9,0.53,0.24,105.0,0.996,9.4,6
7.9,0.4,0.3,45.0,0.99727,9.5,6
8.2,0.73,0.21,13.0,0.9968,9.5,5
7.2,0.36,0.46,44.0,0.99534,11.0,7
11.2,0.5,0.74,17.0,0.9996,11.2,5
10.5,0.24,0.47,24.0,0.9978,11.0,7
6.4,0.31,0.09,28.0,0.99459,10.0,7
5.6,0.31,0.37,96.0,0.9954,9.2,5
9.3,0.38,0.48,11.0,0.99577,13.2,6
13.7,0.415,0.68,43.0,1.0014,10.0,6
8.2,0.34,0.38,57.0,0.9978,9.0,6
15.0,0.21,0.44,24.0,1.00005,9.2,7
7.1,0.53,0.07,24.0,0.9951,10.8,6
6.8,0.83,0.09,25.0,0.99534,9.6,5
7.3,0.48,0.32,54.0,0.99728,10.0,7
12.5,0.46,0.49,49.0,0.9981,9.6,4
9.1,0.66,0.15,59.0,0.99976,9.6,5
6.6,0.96,0.0,16.0,0.9936,11.9,6
9.9,0.25,0.46,42.0,0.9959,10.6,6
6.8,0.67,0.0,39.0,0.99701,9.7,5
6.2,0.7,0.15,27.0,0.99622,11.9,6
7.6,0.42,0.08,48.0,0.9968,10.0,5
6.4,0.63,0.21,32.0,0.99689,9.8,5
7.3,0.45,0.36,87.0,0.9978,10.5,5
10.5,0.24,0.42,22.0,0.9976,10.8,7
9.6,0.56,0.31,46.0,0.9979,10.0,6
8.1,0.33,0.44,12.0,0.99542,10.7,5
5.4,0.74,0.0,46.0,0.99258,12.5,6
6.9,0.54,0.3,105.0,0.99725,10.5,6
7.8,0.34,0.37,58.0,0.9964,9.4,6
8.0,0.6,0.22,105.0,0.99613,9.9,5
5.1,0.585,0.0,86.0,0.99264,12.9,7
6.4,0.69,0.0,12.0,0.99162,12.9,6
6.7,0.75,0.12,80.0,0.9958,10.1,5
7.4,0.64,0.07,23.0,0.9961,9.6,5
7.4,0.6,0.26,121.0,0.9982,9.4,5
10.1,0.935,0.22,86.0,1.001,11.3,4
6.2,0.36,0.24,42.0,0.9946,11.7,6
8.4,0.62,0.12,46.0,0.99504,11.8,6
6.8,0.64,0.1,101.0,0.9956,10.2,5
9.0,0.785,0.24,21.0,0.99692,10.0,5
7.0,0.58,0.28,69.0,0.99633,11.0,6
10.9,0.21,0.49,32.0,0.9972,11.7,6
6.7,0.46,0.24,34.0,0.9948,10.6,6
7.0,0.38,0.49,85.0,0.9962,11.4,6
7.5,0.51,0.02,31.0,0.99538,10.5,6
7.8,0.5,0.17,102.0,0.996,9.5,5
8.7,0.52,0.09,49.0,0.9976,10.6,7
6.1,0.715,0.1,27.0,0.99362,11.9,5
7.8,0.56,0.19,105.0,0.9962,9.5,5
7.7,0.26,0.26,77.0,0.9951,10.9,6
13.2,0.46,0.52,35.0,1.0006,9.0,6
8.4,0.37,0.43,19.0,0.9955,11.2,7
6.0,0.5,0.04,26.0,0.99647,10.0,5
8.3,0.6,0.13,24.0,0.9984,9.2,6
6.9,0.41,0.33,36.0,0.9949,11.1,6
7.6,0.39,0.31,71.0,0.9982,9.7,5
7.2,0.695,0.13,20.0,0.99546,10.1,5
6.6,0.7,0.08,27.0,0.99665,10.2,5
10.1,0.28,0.46,13.0,0.9974,10.2,6
8.8,0.3,0.38,72.0,0.99543,11.8,6
6.1,0.48,0.09,30.0,0.99402,11.2,6
7.0,0.42,0.35,39.0,0.9961,9.2,5
7.4,0.64,0.17,98.0,0.99736,9.5,5
7.0,0.36,0.21,65.0,0.99558,10.1,6
7.3,0.835,0.03,19.0,0.9966,9.6,5
13.4,0.27,0.62,21.0,1.0002,9.7,6
8.0,0.62,0.33,37.0,0.9972,10.7,6
8.9,0.22,0.48,60.0,0.9968,9.4,6
6.8,0.56,0.03,35.0,0.9968,10.0,6
9.6,0.41,0.37,23.0,0.99786,10.5,5
8.5,0.46,0.31,58.0,0.998,9.8,5
8.0,0.45,0.23,29.0,0.9962,10.2,6
7.7,0.63,0.08,27.0,0.9967,9.5,6
7.3,0.4,0.3,79.0,0.9969,9.5,6
8.8,0.66,0.26,23.0,0.9971,9.2,5
11.3,0.37,0.41,16.0,0.9988,9.3,5
10.0,0.58,0.22,32.0,0.9974,9.5,5
9.9,0.44,0.46,41.0,0.99638,11.9,6
7.4,0.59,0.08,29.0,0.9974,9.0,4
6.2,0.39,0.43,24.0,0.99428,11.2,7
6.9,1.09,0.06,31.0,0.9948,11.4,4
8.0,1.18,0.21,41.0,0.99532,10.5,5
13.2,0.46,0.52,35.0,1.0006,9.0,6
10.7,0.52,0.38,56.0,0.99577,12.1,7
9.1,0.28,0.46,9.0,0.99901,10.9,6
7.6,0.9,0.06,10.0,0.9967,9.8,5
7.8,0.76,0.04,54.0,0.997,9.8,5
8.4,0.56,0.08,44.0,0.9958,11.0,5
8.8,0.46,0.45,18.0,0.9947,14.0,6
7.5,0.71,0.0,31.0,0.99635,10.0,6
7.5,0.63,0.12,110.0,0.9983,9.4,5
8.4,0.56,0.04,22.0,0.9976,9.6,5
9.4,0.395,0.46,10.0,0.99639,12.2,7
10.6,0.31,0.49,40.0,0.9976,9.8,6
6.5,0.88,0.03,47.0,0.99572,11.2,4
6.1,0.53,0.08,45.0,0.99528,10.3,6
11.9,0.37,0.69,24.0,0.9958,12.8,6
7.1,0.875,0.05,14.0,0.99808,10.2,3
7.0,0.745,0.12,64.0,0.99588,9.5,6
6.4,0.53,0.09,31.0,0.9968,11.0,4
7.7,0.57,0.21,9.0,0.99458,9.8,6
8.2,0.74,0.09,10.0,0.99418,11.8,6
12.0,0.38,0.56,24.0,0.99925,10.9,6
12.2,0.48,0.54,64.0,1.0,10.5,6
7.7,0.49,0.26,31.0,0.9966,9.6,5
8.7,0.52,0.09,49.0,0.9976,10.6,7
5.8,0.61,0.11,28.0,0.99483,10.9,6
7.9,0.58,0.23,94.0,0.99686,9.5,6
7.1,0.59,0.02,94.0,0.99744,9.7,6
7.5,0.43,0.3,12.0,0.99495,11.5,7
9.9,0.5,0.5,82.0,1.00242,8.8,5
8.8,0.48,0.41,52.0,0.9982,10.5,6
12.0,0.37,0.76,38.0,1.0004,13.0,7
6.8,0.59,0.06,18.0,0.9962,10.8,7
10.9,0.32,0.52,44.0,0.99734,11.5,6
7.2,0.655,0.03,12.0,0.99587,9.5,5
9.1,0.4,0.57,20.0,0.99652,12.5,6
7.1,0.63,0.06,29.0,0.99855,9.6,5
6.9,0.56,0.03,46.0,0.99522,10.6,5
8.0,0.83,0.27,63.0,0.99652,9.8,4
9.2,0.63,0.21,65.0,0.9988,9.6,5
9.9,0.54,0.45,40.0,0.9991,9.4,5
10.0,0.42,0.5,21.0,0.9979,11.8,6
7.8,0.59,0.18,54.0,0.9975,10.0,5
6.2,0.58,0.0,18.0,0.9966,9.4,5
8.0,0.18,0.37,109.0,0.99007,12.7,6
7.2,0.39,0.44,48.0,0.99494,11.5,6
8.8,0.27,0.46,29.0,0.99488,11.3,6
7.3,0.49,0.1,14.0,0.99562,10.5,5
8.0,0.57,0.23,119.0,0.99675,9.3,5
9.7,0.69,0.32,91.0,0.9979,10.1,5
10.2,0.34,0.48,9.0,0.99458,12.1,7
7.9,0.69,0.21,141.0,0.9962,9.9,5
9.3,0.61,0.26,87.0,0.99975,9.7,5
7.4,0.67,0.12,21.0,0.996,9.5,5
7.5,0.49,0.19,44.0,0.9957,9.7,5
10.6,0.36,0.57,20.0,0.99676,11.1,7
7.6,0.49,0.33,85.0,0.99706,9.0,5
7.8,0.5,0.09,42.0,0.9971,9.5,5
10.2,0.54,0.37,95.0,1.00369,9.0,6
7.9,0.18,0.4,20.0,0.9941,11.1,5
7.7,0.43,0.25,63.0,0.99615,10.5,6
5.2,0.49,0.26,74.0,0.9953,12.2,6
6.7,0.67,0.02,42.0,0.99489,10.9,6
8.9,0.31,0.36,39.0,0.99562,11.8,5
8.4,0.745,0.11,63.0,0.9965,9.6,5
8.4,0.36,0.32,79.0,0.9964,11.0,6
7.1,0.68,0.0,26.0,0.99783,9.5,5
7.6,0.43,0.31,74.0,0.9958,9.9,6
8.9,0.565,0.34,112.0,0.9998,9.5,5
7.1,0.31,0.3,127.0,0.9965,9.5,5
6.4,0.57,0.02,11.0,0.997,9.5,5
8.8,0.37,0.48,145.0,0.9975,9.3,5
8.2,0.56,0.23,104.0,0.9976,9.4,5
7.4,0.66,0.0,40.0,0.9978,9.4,5
7.8,0.63,0.48,96.0,0.9961,9.5,5
6.6,0.58,0.02,40.0,0.99387,12.6,6
7.0,0.805,0.0,20.0,0.9969,9.6,5
