citric acid,chlorides,free sulfur dioxide,density,sulphates,alcohol,quality
0.2,0.069,3.0,0.9958,0.56,9.2,5
0.01,0.074,13.0,0.99748,0.65,9.8,5
0.19,0.077,16.0,0.9966,0.51,10.5,5
0.25,0.084,4.0,0.99464,0.44,10.1,5
0.04,0.077,7.0,0.9987,0.91,9.4,6
0.27,0.055,14.0,0.99516,0.8,11.2,5
0.07,0.074,5.0,0.9973,0.81,9.6,6
0.37,0.057,43.0,0.99408,0.81,12.0,6
0.36,0.064,53.0,0.99604,0.87,11.0,7
0.15,0.118,13.0,0.9954,0.67,11.3,6
0.28,0.066,13.0,0.9968,0.73,9.7,7
0.51,0.08,10.0,0.9982,0.89,9.4,6
0.49,0.082,9.0,0.99484,0.52,12.5,7
0.49,0.075,6.0,0.9977,1.06,11.0,6
0.39,0.082,12.0,0.9985,0.62,10.7,6
0.13,0.076,29.0,0.99574,0.75,11.0,6
0.49,0.07,10.0,1.0003,0.91,11.0,6
0.06,0.063,29.0,0.99489,0.83,10.3,6
0.23,0.099,14.0,0.9973,0.7,9.4,5
0.48,0.067,26.0,0.9967,1.04,10.6,6
0.0,0.104,14.0,0.9966,0.55,10.7,6
0.3,0.068,20.0,0.99914,1.17,10.2,5
0.05,0.082,3.0,0.99808,0.52,10.2,3
0.05,0.079,6.0,0.99735,0.63,9.3,5
0.18,0.083,6.0,0.9963,0.6,10.2,6
0.12,0.097,19.0,0.99596,0.49,9.4,5
0.0,0.099,9.0,0.99606,0.6,9.7,5
0.66,0.387,12.0,0.9982,0.67,9.6,5
0.26,0.073,24.0,0.99612,0.53,9.8,5
0.21,0.08,33.0,0.9962,0.51,9.9,5
0.13,0.058,18.0,0.99573,0.68,9.9,6
0.49,0.085,10.0,0.9994,0.63,10.5,6
0.76,0.611,8.0,0.9968,1.26,9.4,5
0.0,0.166,4.0,0.99608,0.52,10.0,5
0.21,0.081,14.0,0.99689,0.66,9.8,5
0.42,0.08,11.0,0.9974,0.8,9.4,6
0.02,0.078,8.0,0.99498,0.62,10.4,6
0.34,0.075,18.0,0.9933,0.88,13.6,7
0.51,0.104,4.0,0.9996,0.97,10.1,6
0.27,0.084,31.0,0.9978,0.53,9.4,5
0.49,0.095,10.0,1.00315,0.74,11.1,5
0.45,0.073,5.0,0.9976,0.82,12.6,8
0.05,0.073,19.0,0.99258,0.55,12.9,5
0.44,0.038,21.0,0.99526,0.81,10.8,7
0.4,0.058,6.0,0.99536,0.68,11.2,7
0.58,0.103,28.0,1.0008,1.0,11.5,6
0.42,0.071,28.0,0.9973,0.71,10.5,5
0.37,0.046,23.0,0.9971,0.71,12.1,6
0.1,0.063,34.0,0.9958,0.67,9.7,5
0.19,0.093,11.0,0.99736,0.59,9.2,4
0.17,0.168,52.0,0.99736,0.5,9.5,5
0.12,0.073,40.0,0.9993,0.52,9.4,6
0.56,0.092,35.0,0.9969,0.75,10.5,7
0.5,0.079,28.0,0.9997,0.57,9.7,5
0.13,0.075,15.0,0.9959,0.59,9.7,6
0.37,0.086,26.0,0.9981,0.52,9.9,5
0.14,0.07,27.0,0.99669,0.48,9.2,5
0.49,0.098,12.0,1.0004,0.61,10.3,5
0.42,0.064,14.0,0.99758,0.57,10.4,6
0.22,0.087,6.0,0.9982,0.61,9.3,5
0.34,0.062,8.0,0.9974,0.94,10.9,6
0.48,0.097,39.0,0.9975,1.03,9.3,5
0.53,0.413,9.0,0.9979,1.06,9.1,6
0.3,0.157,2.0,0.99727,0.91,9.5,6
0.44,0.085,9.0,0.99708,0.55,9.5,5
0.02,0.07,36.0,0.9952,0.58,9.8,5
0.04,0.076,18.0,0.99745,0.55,9.5,5
0.42,0.098,3.0,0.99506,0.55,12.3,6
0.49,0.089,5.0,1.0002,0.44,9.6,5
0.44,0.071,21.0,0.9992,0.63,9.5,5
0.02,0.076,16.0,0.9972,0.52,9.3,5
0.54,0.085,19.0,1.0,0.61,10.5,6
0.26,0.062,9.0,0.9966,0.64,9.6,5
0.42,0.086,9.0,0.99526,0.66,11.6,6
0.25,0.071,23.0,0.99633,0.97,10.6,5
0.66,0.116,12.0,0.997,0.75,11.7,7
0.37,0.067,6.0,0.99552,0.58,11.1,7
0.52,0.159,15.0,0.9998,0.64,9.4,5
0.44,0.061,24.0,0.99484,0.8,11.6,7
0.24,0.072,15.0,0.996,0.54,9.4,6
0.02,0.077,11.0,0.99557,0.62,10.8,6
0.35,0.092,24.0,0.99798,0.69,10.5,6
0.4,0.049,38.0,0.996,0.93,11.3,5
0.18,0.089,12.0,0.99738,0.54,9.4,5
0.18,0.077,15.0,0.99739,0.47,9.7,6
0.4,0.079,19.0,0.998,0.64,9.2,5
0.01,0.064,31.0,0.99371,0.57,11.8,6
0.03,0.086,36.0,0.99522,0.57,10.6,5
0.27,0.078,24.0,0.9984,0.67,10.6,6
0.53,0.07,5.0,0.9972,0.65,11.0,8
0.2,0.097,23.0,0.99733,0.48,9.2,5
0.16,0.078,12.0,0.9977,0.7,9.9,6
0.03,0.072,17.0,0.9956,0.48,9.0,4
0.09,0.172,7.0,0.994,0.48,9.8,4
0.04,0.082,10.0,0.9976,0.44,9.6,5
0.02,0.071,10.0,0.99538,0.71,11.7,7
0.46,0.074,5.0,0.99649,0.74,12.3,6
0.09,0.067,5.0,0.99418,0.57,11.8,6
0.12,0.082,30.0,0.99865,0.64,10.4,6
0.22,0.071,13.0,0.99438,0.83,11.3,6
0.09,0.053,24.0,0.99402,0.6,11.3,5
0.06,0.061,12.0,0.9948,0.43,11.4,4
0.1,0.089,17.0,0.99803,0.55,9.5,5
0.26,0.096,5.0,0.99738,0.42,9.6,5
0.45,0.057,19.0,0.99498,0.89,11.1,7
0.24,0.067,28.0,0.99576,0.54,10.0,4
0.46,0.073,5.0,1.0001,0.64,9.5,5
0.74,0.1,5.0,0.9996,0.62,11.2,5
0.08,0.077,24.0,0.99528,0.68,10.3,6
0.26,0.107,31.0,0.99668,0.46,9.2,5
0.34,0.05,4.0,0.9951,0.64,11.0,7
0.17,0.099,21.0,0.998,0.52,9.3,5
0.49,0.079,28.0,0.9993,0.8,10.2,6
0.41,0.068,10.0,0.99523,0.85,11.7,7
0.32,0.088,22.0,0.9979,0.62,10.1,5
0.38,0.06,19.0,0.99543,0.72,11.8,6
0.27,0.082,23.0,0.99782,0.55,9.4,5
0.21,0.074,16.0,0.99842,0.72,9.23333333333333,6
0.2,0.073,29.0,0.9977,0.54,9.2,5
0.32,0.066,26.0,0.99456,0.72,11.8,6
0.09,0.063,9.0,0.99444,0.69,11.3,6
0.64,0.107,6.0,0.9973,0.66,11.8,7
0.38,0.068,23.0,0.99356,0.72,12.9,7
0.0,0.044,14.0,0.99264,0.94,12.9,7
0.28,0.368,16.0,0.9968,1.28,9.3,5
0.0,0.095,48.0,0.99541,0.7,11.5,6
0.66,0.088,6.0,0.9988,0.99,13.3,6
0.25,0.074,21.0,0.9974,0.62,9.8,6
0.0,0.068,30.0,0.99533,0.65,11.4,6
0.31,0.074,9.0,0.9962,0.54,9.4,6
0.33,0.061,52.0,0.99786,0.9,10.2,6
0.19,0.104,12.0,0.9964,0.93,9.5,5
0.22,0.082,43.0,0.99499,0.42,9.2,5
0.15,0.078,10.0,0.99609,0.51,9.9,6
0.42,0.075,12.0,0.99434,0.71,11.8,7
0.4,0.05,3.0,0.99566,0.56,12.0,4
0.64,0.093,9.0,0.9986,0.66,10.5,5
0.3,0.084,11.0,0.9972,0.61,10.2,6
0.16,0.12,3.0,0.99454,0.58,11.2,6
0.48,0.072,10.0,0.9973,0.79,12.2,7
0.13,0.088,4.0,0.9994,0.52,11.5,5
0.6,0.104,10.0,0.99828,0.68,10.6,5
0.08,0.07,13.0,0.99358,0.72,12.5,7
0.51,0.415,12.0,0.99623,1.17,9.2,5
0.19,0.17,51.0,0.9986,0.93,9.2,5
0.33,0.059,16.0,0.99531,0.64,10.1,6
0.24,0.105,29.0,0.9998,0.67,9.9,5
0.02,0.084,13.0,0.99538,0.54,10.5,6
0.38,0.058,31.0,0.99676,0.82,10.6,7
0.14,0.078,10.0,0.99636,0.61,10.4,5
0.06,0.079,5.0,0.9967,0.56,9.8,5
0.0,0.137,5.0,0.99476,0.4,10.9,3
0.03,0.07,10.0,0.99575,0.57,10.0,5
0.08,0.071,11.0,0.99646,0.63,11.6,6
0.26,0.079,13.0,0.99712,0.62,10.0,5
0.07,0.089,17.0,0.9958,0.54,10.1,5
0.08,0.084,15.0,0.9968,0.59,10.0,5
0.24,0.05,32.0,0.9934,0.62,11.5,5
0.66,0.072,6.0,0.9992,0.56,10.0,5
0.7,0.098,25.0,0.9972,0.53,9.0,5
0.0,0.082,3.0,0.9964,0.48,10.9,5
0.36,0.053,5.0,0.9982,0.42,10.0,6
0.33,0.099,20.0,0.99818,0.71,10.8,5
0.56,0.073,3.0,0.99534,0.73,11.4,6
0.0,0.19,12.0,0.99676,0.6,9.4,6
0.39,0.079,28.0,0.99729,0.59,9.8,5
0.1,0.075,6.0,0.99581,0.43,9.7,6
0.22,0.105,11.0,1.001,0.64,11.3,4
0.29,0.157,1.0,0.9973,0.92,9.5,6
0.4,0.092,13.0,0.99834,0.64,10.0,7
0.31,0.069,26.0,0.99625,0.53,9.3,5
0.34,0.073,16.0,0.99594,0.78,11.3,7
0.12,0.092,29.0,0.9967,0.7,10.3,6
0.27,0.083,17.0,0.99616,0.58,9.8,6
0.12,0.075,32.0,0.99547,0.71,10.2,5
0.13,0.077,25.0,0.99629,0.59,9.2,5
0.48,0.063,6.0,0.9998,0.59,9.3,6
0.26,0.111,7.0,0.99709,0.98,10.2,5
0.47,0.085,9.0,0.99736,0.77,12.1,7
0.46,0.074,24.0,0.99534,0.85,11.0,7
0.02,0.078,6.0,0.996,0.63,9.95,3
0.41,0.073,7.0,0.99658,0.62,12.1,7
0.47,0.086,21.0,0.997,0.57,9.1,5
0.14,0.076,15.0,0.99624,0.49,10.7,5
0.3,0.059,20.0,0.9949,0.47,10.8,6
0.04,0.092,15.0,0.997,0.65,9.8,5
0.18,0.069,13.0,0.9967,0.48,9.2,6
0.0,0.075,3.0,0.998,0.52,9.2,5
0.33,0.063,13.0,0.99516,0.84,11.7,7
0.15,0.076,19.0,0.9961,0.59,10.1,5
0.51,0.341,17.0,0.9969,1.08,9.2,6
0.09,0.062,4.0,0.99584,0.54,10.5,5
0.0,0.096,11.0,0.9994,0.83,9.4,6
0.12,0.111,50.0,0.9983,0.77,9.4,5
0.39,0.062,3.0,0.9948,0.57,11.5,7
0.42,0.071,7.0,0.99566,0.79,11.1,7
0.48,0.066,6.0,0.99724,0.87,10.9,6
0.0,0.115,21.0,0.99629,0.63,10.3,5
0.49,0.099,47.0,0.9979,0.99,9.8,5
0.14,0.067,10.0,0.9969,0.59,9.5,5
0.0,0.064,7.0,0.99562,0.58,11.3,6
0.47,0.066,6.0,0.9978,0.9,11.0,7
0.44,0.08,22.0,0.9988,0.67,9.7,6
0.21,0.071,7.0,0.9964,0.55,9.7,5
0.49,0.25,5.0,0.999,0.79,10.7,6
0.03,0.086,14.0,0.9969,0.46,10.3,5
0.49,0.171,6.0,0.9975,0.61,9.4,6
0.24,0.092,14.0,0.998,0.74,10.0,6
0.18,0.079,18.0,0.9968,0.57,9.3,6
0.68,0.085,17.0,1.0014,0.8,10.0,6
0.46,0.081,6.0,0.99628,0.48,10.4,6
0.44,0.071,6.0,0.9986,0.82,9.3,6
0.55,0.062,5.0,0.9971,0.79,10.6,5
0.12,0.068,11.0,0.996,0.61,11.6,6
0.17,0.058,17.0,0.9932,0.6,12.9,6
0.29,0.098,5.0,0.9988,0.49,9.1,5
0.17,0.087,20.0,1.0004,0.61,9.4,5
0.56,0.153,5.0,0.99476,1.03,11.6,6
0.01,0.08,8.0,0.99746,0.73,10.5,5
0.59,0.152,6.0,0.9986,1.05,9.4,5
0.19,0.075,15.0,0.9956,0.52,12.7,6
0.02,0.034,18.0,0.9921,0.62,12.8,6
0.01,0.077,3.0,0.995,0.46,9.8,5
0.65,0.063,6.0,0.9997,0.57,9.9,5
0.31,0.079,21.0,0.99668,0.55,9.5,6
0.51,0.071,45.0,0.99524,0.76,11.8,7
0.28,0.077,11.0,0.9978,0.61,10.0,6
0.47,0.118,6.0,0.9982,0.75,9.8,6
0.0,0.095,17.0,0.99822,0.6,10.4,6
0.24,0.117,31.0,1.0014,1.07,9.3,5
0.0,0.086,5.0,0.9986,0.55,9.6,6
0.24,0.078,10.0,0.99692,0.67,10.0,5
0.17,0.096,20.0,0.9978,0.53,9.5,5
0.1,0.115,5.0,0.9984,0.69,10.1,7
0.04,0.076,17.0,0.9964,0.56,10.0,6
0.07,0.074,5.0,0.9973,0.81,9.6,6
0.03,0.054,7.0,0.99508,0.63,11.5,6
0.49,0.085,38.0,0.9978,0.55,9.4,5
0.05,0.081,26.0,0.99814,0.53,10.0,5
0.46,0.095,20.0,0.99488,0.56,11.3,6
0.63,0.091,6.0,1.0004,0.49,9.5,5
0.15,0.11,33.0,0.9955,0.63,10.2,6
0.04,0.068,6.0,0.9955,0.64,9.4,6
0.22,0.078,21.0,0.99633,0.6,9.5,6
0.31,0.079,10.0,0.99677,0.69,9.5,6
0.53,0.101,3.0,0.99586,0.59,12.1,7
0.19,0.081,15.0,0.9962,0.54,9.5,5
0.36,0.056,10.0,0.99562,0.69,11.8,5
0.05,0.107,6.0,0.9972,0.63,10.1,5
0.0,0.052,6.0,0.99318,0.66,12.7,7
0.02,0.078,18.0,0.99712,0.75,9.8,5
0.59,0.087,13.0,0.9988,0.65,11.0,6
0.35,0.061,6.0,0.99524,0.74,11.8,7
0.52,0.071,6.0,0.9968,0.72,10.2,7
0.24,0.078,10.0,0.9983,0.78,9.5,6
0.44,0.071,21.0,0.9992,0.63,9.5,5
0.18,0.076,17.0,0.9975,0.59,10.0,5
0.36,0.081,30.0,0.997,0.56,9.4,5
0.4,0.11,12.0,0.99549,0.7,12.0,7
0.54,0.095,22.0,0.99735,0.76,9.9,7
0.24,0.095,19.0,0.9946,0.57,11.7,6
0.49,0.073,19.0,0.9978,0.61,9.5,5
0.44,0.089,11.0,0.9975,0.61,10.5,6
0.24,0.078,28.0,0.99788,0.57,9.5,5
0.15,0.076,13.0,0.99622,0.6,11.9,6
0.68,0.085,17.0,1.0014,0.8,10.0,6
0.0,0.093,51.0,0.99558,0.45,9.5,5
0.64,0.093,9.0,0.9986,0.66,10.5,5
0.43,0.171,27.0,0.9982,0.76,10.8,6
0.1,0.092,3.0,0.99745,0.65,9.55,6
0.5,0.107,5.0,0.998,0.83,11.5,5
0.38,0.063,10.0,0.99468,0.73,12.0,7
0.33,0.068,9.0,0.9947,0.6,11.9,6
0.15,0.097,9.0,0.99976,0.54,9.6,5
0.08,0.071,14.0,0.99336,0.54,11.0,5
0.32,0.054,6.0,0.99572,0.56,11.5,4
0.49,0.074,10.0,0.9976,0.66,9.9,7
0.21,0.092,33.0,0.99823,0.52,9.2,5
0.69,0.09,6.0,1.0,0.62,9.2,6
0.35,0.075,9.0,0.99672,0.83,11.2,7
0.21,0.106,10.0,0.9966,0.91,9.5,5
0.0,0.093,19.0,1.0002,0.65,9.3,6
0.0,0.076,11.0,0.9978,0.56,9.4,5
0.38,0.066,29.0,0.99577,0.79,12.1,7
0.0,0.044,18.0,0.99157,0.73,13.6,7
0.6,0.074,17.0,0.99814,0.72,10.6,6
0.32,0.065,34.0,0.99714,0.78,9.9,5
0.6,0.112,12.0,0.9973,0.52,9.2,5
0.39,0.083,21.0,0.9989,0.71,11.5,7
0.48,0.063,6.0,0.9998,0.59,9.3,6
0.22,0.084,18.0,0.9961,0.48,9.5,5
0.02,0.062,15.0,0.99627,0.6,11.0,6
0.42,0.081,25.0,0.997,0.71,11.4,6
0.66,0.083,7.0,1.0022,0.73,10.0,7
0.34,0.093,16.0,0.9998,0.61,9.5,5
0.11,0.084,8.0,0.99578,0.47,9.7,5
0.26,0.083,13.0,0.99586,0.52,9.9,5
0.26,0.096,5.0,0.99738,0.42,9.6,5
0.02,0.069,19.0,0.99387,0.66,12.6,6
0.31,0.089,15.0,0.9979,0.92,10.0,6
0.12,0.092,12.0,0.9994,0.72,10.0,5
0.65,0.093,15.0,0.9996,0.61,10.6,5
0.59,0.073,23.0,0.998,0.68,10.5,7
0.13,0.076,12.0,0.99546,0.54,10.1,5
0.2,0.047,15.0,0.9955,0.44,10.9,5
0.41,0.084,7.0,0.9984,0.67,9.3,6
0.0,0.073,12.0,0.9969,0.5,9.3,5
0.22,0.08,25.0,0.99613,0.49,9.9,5
0.32,0.062,15.0,0.9947,0.73,11.3,7
0.52,0.122,37.0,0.9969,0.69,9.3,5
0.02,0.082,24.0,0.99744,0.53,9.7,6
0.3,0.074,32.0,0.99717,0.61,9.0,5
0.2,0.076,10.0,0.99735,0.64,9.4,5
0.08,0.045,19.0,0.9949,0.49,11.4,6
0.49,0.122,34.0,1.001,1.14,9.3,5
0.43,0.076,22.0,0.99572,1.16,10.6,6
0.0,0.098,25.0,0.9968,0.68,9.8,5
0.34,0.066,15.0,0.9947,0.78,11.8,6
0.54,0.083,42.0,0.99451,0.63,11.8,8
0.34,0.112,23.0,1.00289,0.68,9.3,5
0.33,0.076,11.0,0.99599,0.81,11.0,6
0.02,0.122,68.0,0.9994,0.53,9.9,5
0.16,0.065,3.0,0.9962,0.92,10.5,7
0.54,0.103,19.0,0.99939,0.76,11.3,6
0.19,0.082,15.0,0.99655,0.68,10.5,5
0.42,0.213,6.0,0.9994,0.62,9.5,6
0.39,0.059,7.0,0.99331,0.52,11.5,6
0.39,0.106,8.0,0.9986,0.5,9.6,5
0.63,0.081,16.0,0.99588,0.78,10.8,6
0.63,0.089,6.0,1.0014,0.81,10.8,6
0.14,0.064,15.0,0.99323,0.61,12.1,6
0.39,0.1,20.0,0.99546,0.69,11.2,6
0.54,0.105,5.0,0.9988,0.63,9.5,5
0.08,0.082,26.0,0.99641,0.51,9.4,5
0.49,0.097,33.0,0.9962,0.77,11.4,6
0.31,0.069,13.0,0.9958,0.54,9.9,6
0.2,0.073,34.0,0.99494,0.43,9.3,5
0.47,0.063,9.0,0.9981,0.65,10.8,6
0.24,0.226,5.0,0.9991,0.6,9.0,6
0.12,0.165,4.0,0.99702,0.86,9.2,5
0.26,0.09,23.0,0.9953,0.62,12.2,6
0.06,0.076,9.0,0.9972,0.7,9.6,6
0.44,0.214,5.0,0.9994,0.63,9.5,6
0.35,0.074,21.0,0.9974,0.56,9.2,5
0.31,0.084,26.0,0.99824,0.64,10.1,6
0.43,0.11,11.0,0.99728,0.67,10.8,5
0.15,0.107,20.0,0.99593,0.5,9.5,5
0.68,0.085,10.0,0.997,0.61,11.8,5
0.32,0.062,15.0,0.9947,0.73,11.3,7
0.01,0.078,17.0,0.9963,0.74,11.7,7
0.38,0.081,34.0,0.99726,0.58,9.8,5
0.0,0.067,40.0,0.9979,0.81,9.9,5
0.03,0.08,6.0,0.99498,0.62,10.1,4
0.37,0.075,5.0,0.998,0.62,9.2,5
0.2,0.098,30.0,0.99892,0.58,9.2,5
0.15,0.054,8.0,0.9934,0.56,13.1,4
0.21,0.081,14.0,0.99689,0.66,9.8,5
0.1,0.086,5.0,0.9958,0.6,11.2,4
0.41,0.056,6.0,0.99396,0.71,11.0,6
0.06,0.06,4.0,0.99592,0.64,10.9,4
0.0,0.08,18.0,0.99765,0.6,9.4,5
0.32,0.087,10.0,0.9991,0.77,10.5,7
0.39,0.066,3.0,0.9947,0.55,11.4,7
0.3,0.068,20.0,0.99914,1.17,10.2,5
0.55,0.073,25.0,0.9997,0.76,10.3,6
0.38,0.169,27.0,0.99914,0.65,8.5,5
1.0,0.61,32.0,0.9996,2.0,9.4,4
0.1,0.085,14.0,0.9964,0.66,9.8,5
0.35,0.067,25.0,0.997,1.36,10.3,6
0.42,0.069,21.0,0.9982,0.72,11.5,6
0.08,0.064,18.0,0.99553,0.65,9.6,6
0.14,0.114,9.0,0.99732,0.65,9.8,5
0.11,0.084,9.0,0.9968,0.53,9.4,5
0.39,0.069,6.0,1.0026,0.66,9.2,5
0.12,0.065,14.0,0.99252,0.53,13.3,6
0.01,0.048,26.0,0.99084,0.75,14.0,6
0.3,0.062,6.0,0.99495,0.72,11.5,7
0.49,0.075,5.0,0.9994,0.57,11.4,5
0.2,0.071,13.0,1.0015,0.69,9.2,6
0.44,0.065,4.0,0.99674,0.62,12.2,6
0.09,0.078,18.0,0.99402,0.54,11.2,6
0.76,0.066,7.0,1.0004,0.6,13.0,7
0.0,0.082,5.0,0.9936,0.44,11.9,6
0.17,0.082,27.0,0.99634,0.64,10.4,5
0.55,0.071,5.0,0.9986,0.62,10.8,6
0.49,0.094,41.0,0.9982,0.61,9.2,5
0.37,0.074,12.0,0.9954,0.58,9.2,5
0.19,0.094,30.0,0.99787,0.5,10.0,6
0.51,0.059,6.0,0.9994,0.6,9.3,6
0.49,0.064,5.0,0.9988,0.73,11.0,6
0.0,0.087,3.0,0.99378,0.63,12.8,7
0.31,0.086,21.0,0.9982,0.91,9.9,6
0.45,0.071,16.0,0.9991,0.62,9.4,5
0.13,0.076,12.0,0.99546,0.54,10.1,5
0.35,0.086,28.0,0.997,0.62,10.8,5
0.24,0.063,10.0,0.99613,0.53,10.2,6
0.11,0.048,16.0,0.99182,0.88,13.6,7
0.07,0.058,5.0,0.99632,0.55,10.9,4
0.47,0.061,6.0,0.99585,0.52,12.0,6
0.33,0.074,24.0,0.9968,0.54,9.4,5
0.42,0.07,9.0,0.99426,0.77,12.7,7
0.49,0.084,32.0,0.9988,0.75,8.7,6
0.0,0.09,8.0,0.9974,0.73,9.3,5
0.26,0.088,23.0,0.9981,0.74,9.2,6
0.29,0.086,5.0,0.99502,0.62,11.5,6
0.0,0.102,8.0,0.9965,0.56,10.7,5
0.76,0.1,6.0,1.0032,0.68,11.2,7
0.0,0.097,14.0,0.99675,0.58,9.0,6
0.47,0.054,17.0,0.99686,0.67,10.6,7
0.24,0.078,1.0,0.999,0.87,10.3,6
0.02,0.069,26.0,0.99358,0.45,11.0,5
0.3,0.065,8.0,0.99774,0.71,10.5,6
0.48,0.077,29.0,0.9968,0.53,9.4,6
0.26,0.073,24.0,0.99612,0.53,9.8,5
0.68,0.414,18.0,0.99652,1.33,9.1,6
0.02,0.072,17.0,0.9955,0.89,12.3,7
0.66,0.093,12.0,0.9996,0.63,10.8,7
0.18,0.042,16.0,0.9924,0.87,12.9,7
0.11,0.079,12.0,0.9968,0.57,10.0,5
0.41,0.083,11.0,0.9982,0.5,9.5,5
0.0,0.077,18.0,0.9965,0.6,10.0,6
0.48,0.082,14.0,0.9972,0.55,9.2,5
